,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
98,TextComment_CC,2022-03-16,4580,2023-05-10,2,735
99,TextComment_CC,2022-03-17,6234,2022-04-18,3,8265
100,TextComment_CC,2022-03-17,7721,2022-06-09,12,9040
101,TextComment_CC,2022-03-17,5698,2022-06-15,1,1052
102,TextComment_CC,2022-03-17,3493,2022-08-08,1,812
103,TextComment_CC,2022-03-18,8948,2022-03-21,1,5797
104,TextComment_CC,2022-03-18,6953,2022-03-21,1,9818
105,TextComment_CC,2022-03-18,6049,2022-03-25,1,28130
106,TextComment_CC,2022-03-18,3803,2022-04-14,2,4521
107,TextComment_CC,2022-03-23,8948,2022-03-25,1,5958
108,TextComment_CC,2022-03-23,1866,2022-04-06,1,5235
109,TextComment_CC,2022-03-23,6355,2023-05-05,7,2160
110,TextComment_CC,2022-03-24,1729,2022-03-29,1,2954
111,TextComment_CC,2022-03-24,3453,2022-07-08,5,4003
112,TextComment_CC,2022-03-25,6049,2022-04-20,3,29732
113,TextComment_CC,2022-03-25,8421,2022-05-17,3,3524
114,TextComment_CC,2022-03-25,7799,2022-05-26,6,4386
115,TextComment_CC,2022-03-28,6737,2022-04-18,3,9431
116,TextComment_CC,2022-03-28,6315,2022-05-11,2,4625
117,TextComment_CC,2022-03-28,519143,2023-01-10,2,892
118,TextComment_CC,2022-03-29,8948,2022-03-30,1,6110
119,TextComment_CC,2022-03-29,2500,2022-04-22,4,12182
120,TextComment_CC,2022-04-01,6953,2022-04-05,2,9948
121,TextComment_CC,2022-04-01,8948,2022-04-13,1,6256
122,TextComment_CC,2022-04-05,6465,2022-06-15,1,1501
123,TextComment_CC,2022-04-06,1866,2022-04-14,1,5279
124,TextComment_CC,2022-04-07,6953,2022-04-11,1,9972
125,TextComment_CC,2022-04-07,3423,2022-11-09,7,6291
126,TextComment_CC,2022-04-08,8151,2022-05-05,1,836
127,TextComment_CC,2022-04-08,2987,2022-10-07,2,1895
128,TextComment_CC,2022-04-11,6751,2022-08-30,1,2045
129,TextComment_CC,2022-04-11,3531,2022-09-26,7,3511
130,TextComment_CC,2022-04-11,6471,2023-02-16,48,11396
131,TextComment_CC,2022-04-12,6953,2022-04-25,1,10053
132,TextComment_CC,2022-04-13,6079,2022-07-08,4,4898
133,TextComment_CC,2022-04-14,8948,2022-04-22,1,6406
134,TextComment_CC,2022-04-14,1866,2022-04-27,1,5319
135,TextComment_CC,2022-04-14,3803,2022-05-18,2,4767
136,TextComment_CC,2022-04-18,6234,2022-05-05,3,8319
137,TextComment_CC,2022-04-20,6049,2022-04-25,1,30231
138,TextComment_CC,2022-04-20,3479,2022-04-29,1,10707
139,TextComment_CC,2022-04-20,6737,2022-05-17,1,9702
140,TextComment_CC,2022-04-20,348010,2022-05-20,1,76
141,TextComment_CC,2022-04-21,9062,2022-06-09,6,15278
142,TextComment_CC,2022-04-21,6937,2022-06-15,1,653
143,TextComment_CC,2022-04-22,8948,2022-04-27,2,6721
144,TextComment_CC,2022-04-22,2500,2022-05-20,4,12657
145,TextComment_CC,2022-04-25,6049,2022-06-07,6,33061
146,TextComment_CC,2022-04-27,1729,2022-04-29,1,3090
147,TextComment_CC,2022-04-27,1866,2022-05-12,2,5385
148,TextComment_CC,2022-04-27,2126,2022-09-15,1,1310
149,TextComment_CC,2022-04-29,6953,2022-05-05,1,10264
150,TextComment_CC,2022-04-29,3479,2022-05-20,1,10859
151,TextComment_CC,2022-04-29,5635,2022-07-12,2,1610
152,TextComment_CC,2022-05-02,1729,2022-05-03,1,3128
153,TextComment_CC,2022-05-04,3505,2022-10-28,4,2605
154,TextComment_CC,2022-05-05,7368,2022-06-20,1,140
155,TextComment_CC,2022-05-06,7252,2022-05-11,1,1075
156,TextComment_CC,2022-05-06,8320,2022-11-04,5,2150
157,TextComment_CC,2022-05-10,8587,2022-06-06,1,2702
158,TextComment_CC,2022-05-10,7052,2022-09-09,3,1329
159,TextComment_CC,2022-05-11,2454,2022-07-29,3,3738
160,TextComment_CC,2022-05-11,6234,2022-08-02,7,8737
161,TextComment_CC,2022-05-12,6953,2022-05-20,1,10541
162,TextComment_CC,2022-05-12,1866,2022-06-01,3,5487
163,TextComment_CC,2022-05-12,6315,2022-06-06,2,5039
164,TextComment_CC,2022-05-12,1022,2022-09-09,1,202
165,TextComment_CC,2022-05-12,6568,2022-10-28,5,3044
166,TextComment_CC,2022-05-13,3427,2022-08-12,2,1917
